"rank","artist","title","releaseYear","listHighestRank","listYear","listWeek","listNumWeeksBest","listNumWeeks","listType"
1252,"Paul McCartney & Wings","Maybe I'm Amazed",1977,22,1977,12,1,3,"tip"
1253,"Bee Gees","Tragedy",1979,4,1979,12,2,10,"top40"
1254,"James Taylor & Mark Knopfler","Sailing To Philadelphia",2000,,,,,,""
1255,"Barbra Streisand","Papa Can You Hear Me?",1983,,,,,,""
1256,"Level 42","Lessons In Love",1986,2,1986,28,2,15,"top40"
1257,"Melissa Etheridge","Like The Way I Do (live)",1993,20,1989,29,1,7,"top40"
1258,"Joe Bonamassa","Dust Bowl",2011,,,,,,""
1259,"Beyoncé","Single Ladies",2008,8,2009,4,2,14,"top40"
1260,"Marc Cohn","Walking In Memphis",1991,6,1991,35,1,4,"tip"
1261,"Curtis Mayfield","Move On Up",1971,,,,,,""
1262,"Live","The Dolphin’s Cry",1999,13,1999,44,1,16,"top40"
1263,"House Of Pain","Jump Around",1992,12,1992,37,2,7,"top40"
1264,"Maroon 5","She Will Be Loved",2004,6,2004,35,1,13,"top40"
1265,"Creedence Clearwater Revival","Born On The Bayou",1969,13,1972,19,1,6,"top40"
1266,"George Michael & Elton John","Don't Let The Sun Go Down On Me",1991,1,1992,2,8,16,"top40"
1267,"The Buoys","Give Up Your Guns",1972,5,1972,27,1,19,"top40"
1268,"Prince","Most Beautiful Girl In The World",1994,,,,,,""
1269,"U2","Stuck In A Moment",2000,7,2001,6,2,10,"top40"
1270,"The Script & will.i.am","Hall Of Fame",2012,17,2012,44,1,22,"top40"
1271,"Creedence Clearwater Revival","Long As I Can See The Light",1970,5,1970,35,1,9,"top40"
1272,"Rare Earth","Get Ready",1970,18,1970,19,1,7,"top40"
1273,"Zucchero Fornaciari","Senza Una Donna",1988,26,1988,14,1,5,"top40"
1274,"Queen","One Vision",1985,21,1985,50,2,5,"top40"
1275,"Rufus Wainwright","Going To A Town",2007,,,,,,""
1276,"3JS","Watermensen",2008,6,2008,11,1,6,"tip"
1277,"George Michael","Cowboys And Angels",1990,15,1991,19,2,5,"top40"
1278,"Maggie MacNeal","Terug Naar De Kust",1976,8,1976,20,1,7,"top40"
1279,"Lee Towers","You'll Never Walk Alone",1976,5,1976,28,1,7,"top40"
1280,"Faithless","We Come 1",2001,2,2001,24,2,16,"top40"
1281,"Kaiser Chiefs","Ruby",2007,7,2007,12,1,17,"top40"
1282,"Bløf","Wat Zou Je Doen",1998,5,1998,42,3,15,"top40"
1283,"Ramses Shaffy","Sammy",1966,2,1966,48,3,20,"top40"
1284,"Matt Simons","With You",2013,8,2013,8,1,17,"top40"
1285,"The Beatles","Twist And Shout",1963,,,,,,""
1286,"U2","Vertigo",2004,2,2004,47,2,14,"top40"
1287,"De Dijk","Mijn Van Straat Geredde Roos",2008,,,,,,""
1288,"Justin Bieber","What Do You Mean",2015,1,2015,38,6,24,"top40"
1289,"Ilse DeLange","So Incredible",2008,6,2008,41,3,21,"top40"
1290,"Paul de Leeuw & Alderliefste","Une Belle Histoire",2006,38,2006,33,1,3,"top40"
1291,"Rush","Spirit Of Radio",1980,,,,,,""
1292,"The Script","Breakeven",2008,4,2009,25,1,10,"tip"
1293,"Owl City","Fireflies",2009,1,2009,52,10,20,"top40"
1294,"Coldplay","God Put A Smile Upon Your Face",2002,38,2003,31,2,2,"top40"
1295,"Moby","Why Does My Heart Feel So Bad?",1999,5,1999,46,2,4,"tip"
1296,"Anouk","Three Days In A Row",2009,1,2009,37,4,16,"top40"
1297,"Marianne Rosenberg","Ich Bin Wie Du",1976,2,1976,11,1,11,"top40"
1298,"The Rolling Stones","Honky Tonk Women",1969,4,1969,34,2,13,"top40"
1299,"OneRepublic","Counting Stars",2013,3,2014,6,3,26,"top40"
1300,"Carpenters","(They Long To Be) Close To You",1970,33,1970,40,1,2,"top40"
1301,"Nina Simone","Feeling Good",1965,,,,,,""
1302,"Coolio ft. L.V.","Gangsta's Paradise",1995,1,1995,44,5,19,"top40"
1303,"Pet Shop Boys","It's A Sin",1987,3,1987,30,3,9,"top40"
1304,"Emerson Lake & Palmer","Lucky Man",1971,12,1971,8,1,6,"top40"
1305,"Sex Pistols","Anarchy In The Uk",1977,,,,,,""
1306,"Michael Jackson","Off The Wall",1979,23,1980,3,2,5,"top40"
1307,"Lucifer","House For Sale",1975,4,1975,20,1,11,"top40"
1308,"The Alan Parsons Project","Don't Answer Me",1984,7,1984,14,1,9,"top40"
1309,"The B-52'S","Love Shack",1989,18,1989,51,1,6,"top40"
1310,"Youssou N'Dour & Neneh Cherry","7 Seconds",1994,2,1994,28,4,17,"top40"
1311,"Ph.D.","I Won't Let You Down",1981,1,1982,6,3,11,"top40"
1312,"Justin Timberlake","Cry Me A River",2002,7,2003,5,4,11,"top40"
1313,"Supertramp","Hide In Your Shell",1974,,,,,,""
1314,"Willie Nelson","Always On My Mind",1984,17,1984,29,1,5,"top40"
1315,"Madonna","Vogue",1990,2,1990,18,1,10,"top40"
1316,"Roberta Flack","The First Time Ever I Saw Your Face",1972,9,1972,33,2,7,"top40"
1317,"Otis Redding","Try A Little Tenderness",1966,,,,,,""
1318,"Marco Borsato","De Bestemming",1998,1,1998,31,3,12,"top40"
1319,"Monty Python","Always Look On The Bright Side Of Life",1981,32,1981,3,2,3,"top40"
1320,"Don Henley","New York Minute",1989,2,1989,50,2,5,"tip"
1321,"Haevn","Finding Out More",2015,25,2015,51,2,7,"top40"
1322,"Janis Joplin","Cry Baby",1971,19,1971,24,1,5,"top40"
1323,"Crash Test Dummies","Mmm Mmm Mmm Mmm",1994,4,1994,22,1,12,"top40"
1324,"Kovacs","Diggin",2015,2,2015,16,1,9,"tip"
1325,"Bruce Springsteen","Human Touch",1992,5,1992,14,1,7,"top40"
1326,"Brainbox","Down Man",1969,13,1969,11,1,8,"top40"
1327,"Pearl Jam","Daughter",1993,6,1994,8,1,5,"tip"
1328,"Bush","Glycerine",1996,35,1996,31,1,3,"top40"
1329,"Gorki","Mia",1992,,,,,,""
1330,"Di-Rect","Times Are Changing",2009,11,2009,50,1,14,"top40"
1331,"Scorpions","Send Me An Angel",1991,4,1991,34,2,10,"top40"
1332,"Dr. Hook","Sylvia's Mother",1972,3,1972,19,1,11,"top40"
1333,"Pet Shop Boys","West End Girls",1986,3,1986,7,1,11,"top40"
1334,"Marco Borsato","Binnen",1999,1,1999,52,3,14,"top40"
1335,"Gilbert Becaud","Nathalie",1964,,,,,,""
1336,"2Pac","Dear Mama",1998,37,1995,39,1,2,"top40"
1337,"Sammy Davis Jr.","Mr. Bojangles",1972,,,,,,""
1338,"Electric Light Orchestra","Can't Get It Out Of My Head",1975,19,1975,11,1,5,"top40"
1339,"Stromae","Tous Les Memes",2013,22,2014,19,1,14,"top40"
1340,"Macklemore & Ryan Lewis","Same Love",2013,13,2013,33,1,13,"top40"
1341,"Bette Midler","Beast Of Burden",1984,10,1984,14,2,8,"top40"
1342,"Niels Geusebroek","Take Your Time Girl",2013,1,2013,38,2,21,"top40"
1343,"The Beach Boys","Wouldn't It Be Nice",1966,,,,,,""
1344,"De Dijk","Kan Ik Iets Voor Je Doen?",2011,,,,,,""
1345,"The Byrds","Mr. Tambourine Man",1965,3,1965,29,4,19,"top40"
1346,"Michael Jackson","Stranger In Moscow",1996,9,1996,42,1,8,"top40"
1347,"Nina Simone","My Baby Just Cares For Me",1987,1,1987,52,1,9,"top40"
1348,"Elvis Presley","An American Trilogy",1972,,,,,,""
1349,"Frankie Goes To Hollywood","Relax",1984,5,1984,8,2,15,"top40"
1350,"George Michael","Jesus To A Child",1996,3,1996,4,1,7,"top40"
1351,"Live","Run To The Water",2000,25,2000,11,3,9,"top40"
1352,"Bonnie Raitt","I Can't Make You Love Me",1991,7,1992,4,1,5,"tip"
1353,"Green Day","Holiday",2005,8,2005,17,1,6,"tip"
1354,"George Michael","A Different Corner",1986,1,1986,20,1,14,"top40"
1355,"Barry Manilow","Mandy",1974,,,,,,""
1356,"Cyndi Lauper","Time After Time",1984,5,1984,26,2,10,"top40"
1357,"Marco Borsato","Dromen Zijn Bedrog",1994,1,1994,40,12,28,"top40"
1358,"Phil Collins","You Can't Hurry Love",1982,1,1983,2,2,11,"top40"
1359,"Editors","A Ton Of Love",2013,3,2013,25,2,7,"tip"
1360,"The Cats","Scarlet Ribbons",1969,3,1969,36,3,11,"top40"
1361,"The Killers","Somebody Told Me",2004,5,2004,45,1,7,"tip"
1362,"John Mayer","Heartbreak Warfare",2010,3,2010,20,2,24,"top40"
1363,"Beyoncé","Love On Top",2011,23,2011,42,1,3,"tip"
1364,"The Kinks","Waterloo Sunset",1967,1,1967,23,1,12,"top40"
1365,"Prince","If I Was Your Girlfriend",1987,16,1987,27,1,8,"top40"
1366,"The Communards","Don't Leave Me This Way",1986,1,1986,44,5,15,"top40"
1367,"P!nk","Family Portrait",2003,5,2003,10,2,13,"top40"
1368,"The Beatles","A Hard Day's Night",1964,14,1974,13,1,3,"tip"
1369,"Allman Brothers Band","Jessica",1976,29,1976,11,1,4,"top40"
1370,"Fink","Looking Too Closely",2014,2,2014,31,1,8,"tip"
1371,"David Sylvian","Forbidden Colours",1983,,,,,,""
1372,"Lady Antebellum","Need You Now",2010,7,2010,29,1,17,"top40"
1373,"Michael Jackson & Justin Timberlake","Love Never Felt So Good",2014,11,2014,22,1,14,"top40"
1374,"U2","Angel Of Harlem",1988,8,1989,1,1,7,"top40"
1375,"Counting Crows","Accidentally In Love",2004,15,2004,39,2,10,"top40"
1376,"Bruce Springsteen","Brilliant Disguise",1987,15,1987,42,2,5,"top40"
1377,"Zager & Evans","In The Year 2525",1969,1,1969,33,4,14,"top40"
1378,"Prince","Controversy",1981,27,1981,50,1,4,"top40"
1379,"Crowded House","Into Temptation",1989,12,1989,21,1,8,"top40"
1380,"Alannah Myles","Black Velvet",1990,3,1990,20,2,14,"top40"
1381,"U2","City Of Blinding Lights",2004,3,2005,26,2,12,"top40"
1382,"Michael Bublé","Home",2004,,,,,,""
1383,"Living Colour","Love Rears Its Ugly Head",1990,12,1990,51,2,6,"top40"
1384,"Nick & Simon","Kijk Omhoog",2007,6,2007,39,2,10,"top40"
1385,"Deep Purple","Black Night",1970,11,1970,46,2,13,"top40"
1386,"Alanis Morissette","Thank You",1998,7,1998,44,3,10,"top40"
1387,"Earth & Fire","Song Of The Marching Children",1971,,,,,,""
1388,"Counting Crows","Round Here",1993,,,,,,""
1389,"The Isley Brothers","The Highways Of My Life",1973,,,,,,""
1390,"Steve Miller Band","Fly Like An Eagle",1976,27,1976,39,1,5,"top40"
1391,"Mink DeVille","Spanish Stroll",1977,3,1977,48,2,13,"top40"
1392,"Bruce Springsteen","Working On A Dream",2008,,,,,,""
1393,"Eels","Novocaine For The Soul",1996,,,,,,""
1394,"Rowwen Hèze","Bestel Mar",1992,13,1992,9,1,8,"top40"
1395,"Saybia","The Day After Tomorrow",2002,,,,,,""
1396,"Paul Simon","Still Crazy After All These Years",1975,,,,,,""
1397,"Fatboy Slim","Praise You",1998,32,1999,6,1,3,"top40"
1398,"Twenty One Pilots","Stressed Out",2016,3,2016,14,1,24,"top40"
1399,"Passenger","Holes",2013,34,2013,9,1,4,"top40"
1400,"Wham","Wake Me Up Before You Gogo",1984,1,1984,29,2,13,"top40"
1401,"Santa Esmeralda","Don't Let Me Be Misunderstood",1977,5,1977,38,2,10,"top40"
1402,"Herman Brood","Still Believe",1978,30,1979,1,3,6,"top40"
1403,"Rob de Nijs","Banger Hart",1996,1,1996,38,5,26,"top40"
1404,"Frank Sinatra","Theme From 'New York, New York'",1980,5,1980,30,2,10,"top40"
1405,"Elvis Presley","Burning Love",1972,19,1972,49,2,5,"top40"
1406,"Gladys Knight & The Pips","Midnight Train To Georgia",1973,27,1973,51,1,4,"top40"
1407,"Leonard Cohen","You Want It Darker",2016,,,,,,""
1408,"Tom Waits","Tom Traubert's Blues",1976,,,,,,""
1409,"Prince","Little Red Corvette",1983,,,,,,""
1410,"Paul Kalkbrenner","Sky And Sand",2008,12,2009,26,1,10,"top40"
1411,"Xavier Rudd","Follow The Sun",2016,23,2016,7,1,6,"top40"
1412,"Joni Mitchell","Both Sides Now",1967,,,,,,""
1413,"Aerosmith","Love In An Elevator",1989,9,1989,40,1,8,"top40"
1414,"Crowded House","Weather With You",1992,11,1992,17,2,9,"top40"
1415,"Lorde","Royals",2013,4,2013,49,1,33,"top40"
1416,"Beyoncé","If I Were A Boy",2008,1,2008,49,4,15,"top40"
1417,"René Klijn","Mr. Blue",1993,1,1993,15,5,15,"top40"
1418,"Mr. Mister","Broken Wings",1986,3,1986,5,2,10,"top40"
1419,"Toto","Pamela",1988,9,1988,28,2,9,"top40"
1420,"The Rolling Stones","As Tears Go By",1966,2,1966,14,1,15,"top40"
1421,"George Ezra","Budapest",2014,3,2014,17,1,32,"top40"
1422,"The Doors","Break On Through (To The Other Side)",1967,,,,,,""
1423,"Jean Michel Jarre","Oxygene IV",1977,4,1977,27,2,8,"top40"
1424,"Fleetwood Mac","Big Love",1987,4,1987,22,2,11,"top40"
1425,"Imagine Dragons","On Top Of The World",2013,10,2013,35,1,18,"top40"
1426,"Johnny Cash","San Quentin (live At San Quentin)",1969,,,,,,""
1427,"Ella Fitzgerald & Louis Armstrong","Summertime",1957,,,,,,""
1428,"Billy Joel","Honesty",1979,28,1979,30,2,4,"top40"
1429,"Birdy","Skinny Love",2011,2,2011,51,2,27,"top40"
1430,"Madonna","Live To Tell",1986,3,1986,19,3,11,"top40"
1431,"The Doors","Love Her Madly",1971,9,1971,21,2,8,"top40"
1432,"Vandenberg","Burning Heart",1983,19,1983,15,2,8,"top40"
1433,"Dan Hartman","Relight My Fire",1980,3,1980,29,1,13,"top40"
1434,"Frank Sinatra","I've Got You Under My Skin",1956,,,,,,""
1435,"Muse","Sing For Absolution",2004,12,2004,27,1,9,"top40"
1436,"Crosby, Stills, Nash & Young","Carry On",1970,,,,,,""
1437,"Simon & Garfunkel","Cecilia",1970,2,1970,21,2,11,"top40"
1438,"The Rolling Stones","Lady Jane",1966,5,1966,38,2,14,"top40"
1439,"De Staat","Witch Doctor",2014,,,,,,""
1440,"Ray Charles","Georgia On My Mind",1960,,,,,,""
1441,"Reinhard Mey","Gute Nacht Freunde",1974,14,1974,14,1,7,"top40"
1442,"The Script","Superheroes",2014,4,2014,40,5,23,"top40"
1443,"Major Lazor & DJ Snake Feat Mo","Lean On",2015,1,2015,15,4,33,"top40"
1444,"Boudewijn de Groot","Meester Prikkebeen",1968,,,,,,""
1445,"U2","Sometimes You Can't Make It On Your Own",2004,4,2005,9,2,21,"top40"
1446,"Whitney Houston","I Wanna Dance With Somebody",1987,1,1987,25,3,13,"top40"
1447,"Roy Orbison","In Dreams",1963,,,,,,""
1448,"Blind Melon","No Rain",1993,26,1994,3,1,5,"top40"
1449,"Janis Ian","At Seventeen",1975,,,,,,""
1450,"Foo Fighters","Times Like These",2002,,,,,,""
1451,"Neil Diamond","September Morn'",1979,,,,,,""
1452,"Twenty One Pilots","Heathens",2016,10,2016,40,1,14,"top40"
1453,"Wet Wet Wet","Love Is All Around",1994,1,1994,34,4,18,"top40"
1454,"Family Of The Year","Hero",2014,18,2014,21,2,13,"top40"
1455,"De Dijk","De Blues Verlaat Je Nooit",2012,,,,,,""
1456,"Rihanna Feat. Mikky Ekko","Stay",2013,3,2013,16,2,25,"top40"
1457,"The Beatles","She's Leaving Home",1967,,,,,,""
1458,"Ellen Foley","We Belong To The Night",1979,1,1979,44,3,12,"top40"
1459,"Michel Sardou","Les Lacs Du Connemara",1982,9,1982,11,2,7,"top40"
1460,"John Denver","Thank God I'm A Country Boy",1975,30,1975,31,1,4,"top40"
1461,"Norah Jones","Sunrise",2004,7,2004,16,1,9,"tip"
1462,"Toto","Mushanga",1988,19,1988,44,1,6,"top40"
1463,"Keane","Bend And Break",2005,27,2005,29,1,5,"top40"
1464,"De Kast","Hart Van Mijn Gevoel",1999,8,2000,3,1,13,"top40"
1465,"Hot Chocolate","Emma",1974,3,1974,24,3,13,"top40"
1466,"Dido","White Flag",2003,4,2003,48,1,20,"top40"
1467,"MGMT","Kids",2008,,,,,,""
1468,"R.E.M.","Its The End Of The World",1987,,,,,,""
1469,"Anouk","Jerusalem",2005,20,2005,33,1,5,"top40"
1470,"Coldplay","Charlie Brown",2011,25,2011,51,1,3,"top40"
1471,"U2","Magnificent",2009,18,2009,15,1,6,"top40"
1472,"ABBA","One Of Us",1981,1,1982,2,2,9,"top40"
1473,"Amanda Marshall","Beautiful Goodbye",1995,22,1996,39,1,8,"top40"
1474,"Ed Sheeran","Lego House",2012,12,2012,14,1,13,"top40"
1475,"The Robert Cray Band","Right Next Door",1987,2,1987,34,2,11,"top40"
1476,"Cat Stevens","Lady D'Arbanville",1970,2,1970,31,1,10,"top40"
1477,"Beastie Boys","Intergalactic",1998,15,1998,30,2,9,"top40"
1478,"Queen","You Don't Fool Me",1996,21,1996,15,2,7,"top40"
1479,"Birdy","People Help The People",2011,5,2012,10,4,21,"top40"
1480,"The Jam","A Town Called Malice",1980,7,1982,13,1,8,"top40"
1481,"U2 & Green Day","The Saints Are Coming",2006,1,2006,46,2,7,"top40"
1482,"Chris Isaak","Blue Hotel",1987,31,1987,23,1,4,"top40"
1483,"Matthias Reim","Verdammt Ich Lieb' Dich",1990,1,1990,40,4,13,"top40"
1484,"Marco Borsato & Ali B","Wat Zou Je Doen",2004,1,2004,39,4,18,"top40"
1485,"Reinhard Mey","Als De Dag Van Toen",1975,2,1975,48,1,10,"top40"
1486,"The Monkees","I'm A Believer",1966,1,1967,3,3,17,"top40"
1487,"Snowy White","Bird Of Paradise",1984,6,1984,10,2,8,"top40"
1488,"Earth & Fire","Memories",1972,1,1972,21,2,14,"top40"
1489,"UB40","Food For Thought",1980,4,1983,20,2,9,"top40"
1490,"Cliff Richard & The Young Ones","Living Doll",1986,1,1986,16,4,10,"top40"
1491,"Coldplay","The Hardest Part",2006,25,2006,22,1,6,"top40"
1492,"Alice In Chains","Rooster",1992,,,,,,""
1493,"Carpenters","Yesterday Once More",1973,7,1973,32,1,10,"top40"
1494,"M.A.S.H.","Suicide Is Painless",1970,4,1970,39,3,10,"top40"
1495,"Stef Bos","Ik Heb Je Lief",1992,,,,,,""
1496,"Santana","Oye Como Va",1971,27,1971,20,1,4,"top40"
1497,"Vitesse","Rosalyn",1982,9,1982,37,2,7,"top40"
1498,"Pixies","Monkey Gone To Heaven",1989,,,,,,""
1499,"Coldplay","Life In Technicolor II",2009,15,2009,11,1,11,"top40"
1500,"Toto","I'll Be Over You",1986,31,1986,44,1,3,"top40"
1501,"The Beatles","For No One",1966,,,,,,""
1502,"The Beatles","Yellow Submarine",1966,1,1966,35,6,14,"top40"
1503,"Genesis","No Son Of Mine",1991,8,1991,47,1,7,"top40"
1504,"Focus","Sylvia",1972,9,1972,23,2,8,"top40"
1505,"Paul Simon","Late In The Evening",1980,9,1980,36,2,9,"top40"
1506,"Bruno Mars","Treasure",2013,11,2013,29,1,15,"top40"
1507,"The Who","Behind Blue Eyes",1971,34,1972,17,2,2,"top40"
1508,"Phil Collins & Philip Bailey","Easy Lover",1985,1,1985,4,4,14,"top40"
1509,"Frank Zappa","Dancin' Fool",1979,19,1979,20,1,3,"tip"
1510,"Kane","No Surrender",2009,3,2010,6,2,21,"top40"
1511,"Brian May","Too Much Love Will Kill You",1992,1,1992,39,3,12,"top40"
1512,"Jefferson Airplane","Somebody To Love",1970,3,1970,33,2,12,"top40"
1513,"Marco Borsato","Waarom Nou Jij",1994,1,1995,3,1,16,"top40"
1514,"Earth & Fire","Weekend",1979,1,1979,50,3,13,"top40"
1515,"The Smiths","How Soon Is Now",1984,,,,,,""
1516,"Steve Harley & Cockney Rebel","Make Me Smile (Come Up And See Me)",1975,6,1975,15,2,8,"top40"
1517,"Foreigner","Cold As Ice",1977,13,1977,42,1,6,"top40"
1518,"Barbra Streisand","The Way We Were",1973,,,,,,""
1519,"Dire Straits","So Far Away",1985,31,1985,18,3,5,"top40"
1520,"Yes","Yours Is No Disgrace",1971,23,1971,16,1,2,"tip"
1521,"Robbie Williams","She's The One",1999,29,1999,50,1,7,"top40"
1522,"Simply Red","Fairground",1995,6,1995,44,1,15,"top40"
1523,"2Pac & Dr. Dre","California Love",1996,10,1996,15,2,8,"top40"
1524,"Bruce Hornsby & The Range","The Way It Is",1986,1,1986,38,1,11,"top40"
1525,"Michael Jackson","Rock With You",1979,,,,,,""
1526,"Paolo Nutini","New Shoes",2006,,,,,,""
1527,"Neil Diamond","Love On The Rocks",1980,13,1981,1,2,7,"top40"
1528,"Willeke Alberti","Telkens Weer",1975,,,,,,""
1529,"Al Stewart","On The Border",1977,5,1977,20,2,9,"top40"
1530,"Sex Pistols","God Save The Queen",1977,,,,,,""
1531,"Bob Marley & The Wailers","One Love - People Get Ready",1984,2,1984,25,2,13,"top40"
1532,"Barbra Streisand & Neil Diamond","You Don't Bring Me Flowers",1978,15,1978,51,1,6,"top40"
1533,"Foo Fighters","All My Life",2002,,,,,,""
1534,"Bee Gees","You Win Again",1987,5,1987,44,1,13,"top40"
1535,"Annie Lennox","Why",1992,6,1992,18,2,10,"top40"
1536,"Randy Crawford","One Day I'll Fly Away",1980,1,1980,40,2,12,"top40"
1537,"Roger Glover & Guests","Love Is All",1975,1,1975,19,3,13,"top40"
1538,"Peter Frampton","Show Me The Way",1976,1,1976,30,1,13,"top40"
1539,"Arcade Fire","Reflektor",2013,,,,,,""
1540,"Kane","Damn Those Eyes",1999,26,1999,51,1,7,"top40"
1541,"The Backstreet Boys","Everybody",1997,4,1997,31,2,12,"top40"
1542,"The Beatles","When I'm Sixty Four",1967,,,,,,""
1543,"Robin Thicke Feat. Pharrell","Blurred Lines",2013,1,2013,16,11,29,"top40"
1544,"Steve Miller Band","The Joker",1973,1,1990,44,2,19,"top40"
1545,"Golden Earring","Weekend Love",1979,3,1979,28,3,13,"top40"
1546,"Spinvis","Voor Ik Vergeet",2002,,,,,,""
1547,"Norah Jones","Don't Know Why",2002,,,,,,""
1548,"Manfred Mann's Earth Band","Blinded By The Light",1976,4,1976,44,1,6,"tip"
1549,"The Rolling Stones","It's All Over Now",1964,,,,,,""
1550,"ABBA","Voulez-Vous",1979,4,1979,32,2,9,"top40"
1551,"Mud","Dynamite",1974,1,1974,8,5,16,"top40"
1552,"Elvis Presley","Are You Lonesome Tonight",1960,15,1981,6,1,7,"top40"
1553,"Bløf","Hou Vol Hou Vast",2011,25,2011,26,1,10,"top40"
1554,"Frank Sinatra","Strangers In The Night",1966,2,1966,27,3,16,"top40"
1555,"The Who","Ouverture",1969,,,,,,""
1556,"Jewel","Foolish Games",1997,9,1997,52,1,15,"top40"
1557,"Plain White T's","Hey There Delilah",2007,8,2007,46,1,20,"top40"
1558,"Dj Tiesto","Traffic",2003,2,2003,40,4,21,"top40"
1559,"Grace Jones","La Vie En Rose",1977,4,1983,34,2,13,"top40"
1560,"Duncan Browne","Wild Places",1979,7,1979,13,2,8,"top40"
1561,"Bram Vermeulen","De Wedstrijd",1991,,,,,,""
1562,"Ilse DeLange","I'm Not So Tough",1998,35,1998,27,1,3,"top40"
1563,"The Mamas & The Papas","Monday Monday",1966,2,1966,25,2,16,"top40"
1564,"The Beatles","We Can Work It Out",1965,1,1965,52,7,14,"top40"
1565,"Led Zeppelin","Rock And Roll",1971,,,,,,""
1566,"Coldplay","Violet Hill",2008,9,2008,22,1,10,"top40"
1567,"Of Monsters And Men","Little Talks",2012,16,2012,26,1,19,"top40"
1568,"The Script","No Good In Goodbye",2014,35,2014,48,1,4,"top40"
1569,"The Moody Blues","Tuesday Afternoon",1968,,,,,,""
1570,"Beyoncé Feat. Jay-Z","Crazy In Love",2002,2,2003,28,4,14,"top40"
1571,"Robbie Williams","The Road To Mandalay",2001,17,2001,35,1,14,"top40"
1572,"Al Jarreau","Roof Garden",1982,2,1982,13,1,9,"top40"
1573,"The Verve","The Drugs Don't Work",1997,20,1997,47,1,4,"tip"
1574,"Tim Hardin","How Can We Hang On To A Dream",1967,4,1987,49,1,18,"top40"
1575,"Michael Jackson","Bad",1983,1,1987,40,1,9,"top40"
1576,"Ilse DeLange","World Of Hurt",1998,11,1998,38,1,4,"tip"
1577,"Sam & Dave","Soul Man",1967,13,1967,48,1,9,"top40"
1578,"Boudewijn de Groot","Een Meisje Van 16",1965,23,1966,3,1,13,"top40"
1579,"Jeff Wayne & Justin Hayward","Forever Autumn",1978,22,1978,46,1,5,"top40"
1580,"Cream","Sunshine Of Your Love",1968,27,1968,10,2,6,"top40"
1581,"Tanita Tikaram","Twist In My Sobriety",1988,23,1988,50,1,5,"top40"
1582,"Florence & The Machine","Dog Days Are Over",2009,,,,,,""
1583,"Kiss","Sure Know Something",1979,3,1979,45,1,11,"top40"
1584,"The Common Linnets","We Don't Make The Wind Blow",2015,32,2015,22,1,4,"top40"
1585,"Sugarhill Gang","Rappers Delight",1979,1,1980,5,3,14,"top40"
1586,"Bon Jovi","In These Arms",1993,8,1993,21,2,8,"top40"
1587,"Anouk","R U Kiddin' Me",1999,2,1999,44,2,19,"top40"
1588,"Van Halen","Why Can't This Be Love",1987,16,1987,9,2,8,"top40"
1589,"Causes","Teach Me How To Dance With You",2014,19,2015,13,1,10,"top40"
1590,"Saybia","I Surrender",2004,2,2005,5,2,9,"tip"
1591,"George Michael","Father Figure",1988,2,1988,6,1,9,"top40"
1592,"Bob Dylan","Lay Lady Lay",1969,5,1969,30,1,4,"tip"
1593,"The Rolling Stones","Under My Thumb",1966,,,,,,""
1594,"Lou Reed","Intro / Sweet Jane",1974,,,,,,""
1595,"Genesis","I Can't Dance",1992,1,1992,10,2,12,"top40"
1596,"The Police","Don't Stand So Close To Me",1980,3,1980,44,1,11,"top40"
1597,"The Cure","In Between Days",1985,31,1985,35,3,5,"top40"
1598,"Billy Joel","Scenes From An Italian Restaurant",1977,,,,,,""
1599,"The Doobie Brothers","What A Fool Believes",1978,12,1986,26,1,7,"top40"
1600,"Bruno Mars","Grenade",2010,2,2011,5,3,23,"top40"
1601,"Rob de Nijs","Malle Babbe",1975,8,1975,5,2,8,"top40"
1602,"Black","Wonderful Life",1987,7,1987,44,1,7,"top40"
1603,"Coldplay","Lost",2008,15,2008,51,2,10,"top40"
1604,"Level 42","It's Over",1987,7,1987,42,2,9,"top40"
1605,"Nina Hagen","Unbeschreiblich Weiblich",1979,5,1979,10,1,5,"tip"
1606,"Creedence Clearwater Revival","Down On The Corner",1969,10,1970,2,1,8,"top40"
1607,"The Rolling Stones","Beast Of Burden",1978,,,,,,""
1608,"Frankie Goes To Hollywood","Two Tribes",1984,1,1984,31,3,14,"top40"
1609,"Beastie Boys","No Sleep Till Brooklyn",1987,22,1987,30,1,5,"top40"
1610,"Boudewijn de Groot","Als De Rook Om Je Hoofd Is Verdwenen",1972,24,1972,26,1,4,"top40"
1611,"George Michael","Faith",1987,1,1987,46,6,13,"top40"
1612,"The Kinks","You Really Got Me",1964,,,,,,""
1613,"Bruno Mars","24k Magic",2016,6,2016,50,1,9,"top40"
1614,"Ed Sheeran","Sing",2014,15,2014,27,2,18,"top40"
1615,"The Clash","Should I Stay Or Should I Go",1982,6,1991,16,2,11,"top40"
1616,"Sade","No Ordinary Love",1992,19,1992,46,1,5,"top40"
1617,"Lady Gaga","Bad Romance",2009,10,2010,3,1,17,"top40"
1618,"Roxette","It Must Have Been Love",1990,3,1990,34,2,17,"top40"
1619,"Spinvis","Bagagedrager",2002,20,2003,6,1,3,"tip"
1620,"The Human League","Don't You Want Me",1982,5,1982,5,3,8,"top40"
1621,"Michael Jackson","Will You Be There",1993,3,1993,33,2,14,"top40"
1622,"Calum Scott","Dancing On My Own",2016,15,2016,49,1,5,"top40"
