"rank","artist","title","releaseYear","listHighestRank","listYear","listWeek","listNumWeeksBest","listNumWeeks","listType"
993,"The Moody Blues","Question",1970,1,1970,24,2,10,"top40"
994,"John Farnham","You're The Voice",1987,15,1987,11,1,7,"top40"
995,"The Jimi Hendrix Experience","Purple Haze",1967,14,1967,21,1,6,"top40"
996,"Elton John","Nikita",1985,1,1985,49,7,19,"top40"
997,"The Beatles","In My Life",1965,,,,,,""
998,"Snow Patrol","Just Say Yes",2009,1,2009,49,3,23,"top40"
999,"Nena & Kim Wilde","Anyplace, Anywhere, Anytime",2004,1,2003,41,5,19,"top40"
1000,"Muddy Waters","Mannish Boy",1988,8,1988,46,1,7,"top40"
1001,"The Rolling Stones","Jumping Jack Flash",1968,2,1968,25,2,10,"top40"
1002,"De Jeugd Van Tegenwoordig","Watskeburt?!",2005,1,2005,24,3,15,"top40"
1003,"Daft Punk","Harder Better Faster Stronger",2001,,,,,,""
1004,"The Rolling Stones","Ruby Tuesday",1967,2,1967,7,2,16,"top40"
1005,"Michael Bublé","Feeling Good",2004,,,,,,""
1006,"James Bay","Hold Back The River",2014,14,2015,6,1,20,"top40"
1007,"The Rolling Stones","Waiting On A Friend",1981,9,1982,2,1,8,"top40"
1008,"David Guetta & Sia","Titanium",2011,2,2011,42,2,22,"top40"
1009,"Maarten van Roozendaal","Red Mij Niet",2001,,,,,,""
1010,"James Taylor","You've Got A Friend",1971,20,1971,36,2,5,"top40"
1011,"Peter Gabriel","Sledgehammer",1986,10,1986,25,2,12,"top40"
1012,"Joe Cocker","N'oubliez Jamais",1997,6,1997,46,1,6,"tip"
1013,"Prodigy","Smack My Bitch Up",1997,19,1997,50,1,4,"top40"
1014,"George Harrison","My Sweet Lord",1970,1,1971,1,4,12,"top40"
1015,"Paul de Leeuw & André Hazes","Droomland",1993,23,1993,39,2,7,"top40"
1016,"The Doobie Brothers","Listen To The Music",1972,8,1975,10,1,19,"top40"
1017,"Bryan Adams","Run To You",1985,14,1985,22,1,8,"top40"
1018,"Prodigy","Firestarter",1996,8,1996,18,2,12,"top40"
1019,"Shawn Mendes","Stitches",2015,4,2015,48,3,25,"top40"
1020,"Jason Mraz","I'm Yours",2008,4,2008,45,1,24,"top40"
1021,"The Kinks","Lola (live)",1980,1,1981,2,4,13,"top40"
1022,"The Smiths","Bigmouth Strikes Again",1986,26,1986,33,1,3,"top40"
1023,"Elton John","Circle Of Life",1994,5,1995,2,2,13,"top40"
1024,"The Rolling Stones","Little Red Rooster",1965,4,1965,2,1,12,"top40"
1025,"Bob Dylan","I Want You",1966,24,1966,32,1,7,"top40"
1026,"Talking Heads","Road To Nowhere",1985,8,1985,48,1,9,"top40"
1027,"Enya","Orinoco Flow",1988,1,1988,49,3,11,"top40"
1028,"Fischer-Z","The Worker",1979,20,1979,40,1,7,"top40"
1029,"Donna Summer","I Feel Love",1977,1,1977,37,1,11,"top40"
1030,"Doe Maar","De Bom",1982,1,1982,49,4,13,"top40"
1031,"Ten Years After","I'm Going Home",1971,15,1971,9,2,5,"top40"
1032,"The Trammps","Disco Inferno",1977,6,1977,19,2,6,"tip"
1033,"Supertramp","Breakfast In America",1979,16,1979,29,2,8,"top40"
1034,"Jacques Brel","Mijn Vlakke Land",1965,,,,,,""
1035,"Neil Young","Harvest",1972,,,,,,""
1036,"Rick Astley","Never Gonna Give You Up",1987,1,1987,41,4,13,"top40"
1037,"2 Unlimited","No Limit",1993,1,1993,10,5,17,"top40"
1038,"Soft Cell","Tainted Love",1981,5,1981,44,2,9,"top40"
1039,"Lange Frans & Thé Lau","Zing Voor Me",2010,5,2011,3,1,12,"top40"
