"rank","artist","releaseYear"
638,"The Beatles",1967
639,"Simone Kleinsma",1995
639,"Paul de Leeuw",1995
640,"Crosby, Stills, Nash & Young",1970
641,"Simple Minds",1985
642,"Mumford & Sons",2012
643,"Fats Domino",1957
644,"Supertramp",1974
645,"Genesis",1978
646,"Blue Öyster Cult",1976
647,"The Who",1969
648,"George Michael",1987
649,"Elvis Presley",1957
650,"Alice In Chains",1992
651,"Prince",1982
652,"The Beatles",1965
653,"Marco Borsato",2006
654,"Alice Cooper",1979
655,"Caro Emerald",2009
656,"Iggy Pop",1976
657,"Phil Collins",1999
658,"Johnny Cash",1969
659,"Simon & Garfunkel",1968
660,"ABBA",1974
661,"Blondie",1978
662,"Typhoon",2014
663,"BAP",1983
664,"UB40",1983
665,"Shocking Blue",1969
666,"Novastar",1999
667,"Racoon",2012
668,"Coldplay",2017
668,"Chainsmokers",2017
669,"Franz Ferdinand",2003
670,"De Poema's",1999
671,"Gé Reinders",1999
672,"Tame Impala",2015
673,"Herman van Veen",1969
674,"Fleetwood Mac",1988
675,"Nits",1987
676,"George Michael",1987
677,"Kings Of Leon",2008
678,"Lou Reed",1973
679,"The Smiths",1986
680,"Simple Minds",1984
681,"Crowded House",1987
682,"Arctic Monkeys",2006
683,"Green Day",2004
684,"The Cats",1971
685,"Golden Earrings",1968
686,"Queen",1979
687,"Live",1995
688,"Rod Stewart",1975
689,"Herman Brood & His Wild Romance",1979
690,"The Cure",1989
691,"2Pac",1998
692,"Queen",1980
693,"Bruce Springsteen",1975
694,"Jimi Hendrix Experience",1969
695,"Carly Simon",1973
696,"Melissa Etheridge",1989
697,"Bløf",2002
698,"Leonard Cohen",2016
699,"Talking Heads",1985
700,"Lana Del Rey",2011
701,"ABBA",1979
702,"Paul Weller",1995
703,"Joe Jackson",1982
704,"Dire Straits",1980
705,"Amy Winehouse",2007
706,"Joe Cocker",1987
707,"Hero",1997
708,"Counting Crows",1994
709,"Tina Turner",1988
709,"David Bowie",1988
710,"Mark Knopfler",2000
711,"Status Quo",1979
712,"Bob Dylan",1964
713,"Paul Simon",1986
714,"George Michael",1991
714,"Elton John",1991
715,"The Beatles",1967
716,"The Killers",2008
717,"Valensia",1993
718,"Don McLean",1972
719,"Tavares",1976
720,"Creedence Clearwater Revival",1968
721,"Boudewijn de Groot",1973
722,"Gilbert O'Sullivan",1971
723,"Foo Fighters",2015
724,"Ten Sharp",1991
725,"Radiohead",1997
726,"The Police",1979
727,"The Beatles",1970
728,"Acda & De Munnik",1997
729,"Steppenwolf",1968
730,"David Bowie",1977
731,"Bon Jovi",1994
732,"Evanescence",2003
733,"First Aid Kit",2014
734,"Madness",1982
735,"Kane",2002
736,"Tina Turner",1966
737,"ABBA",1979
738,"Bløf",2002
739,"Ilse DeLange",2000
740,"Jethro Tull",1972
741,"Ennio Morricone",1968
742,"De Dijk",1982
743,"David Bowie",1972
744,"Venice",1999
745,"Frank Sinatra",1964
746,"Neil Diamond",1976
747,"Eros Ramazzotti",1989
748,"Rowwen Hèze",1996
749,"Armin van Buuren",2015
749,"Kensington",2015
750,"Michael Kiwanuka",2016
751,"André Hazes",1982
752,"Alain Clark",2008
753,"Sade",1984
754,"Temple Of The Dog",1991
755,"Clouseau",1990
756,"Anita Meyer",1981
757,"Alice Cooper",1972
758,"Keane",2004
759,"Coldplay",2002
760,"Paul McCartney & Wings",1974
761,"Carpenters",1973
762,"Bee Gees",1968
763,"Tom Petty",1989
764,"Queen",1976
765,"Tori Amos",1992
766,"Tears For Fears",1985
767,"Donna Summer",1977
768,"Sandy Coast",1981
769,"Elton John",1972
770,"De Dijk",2011
771,"Genesis",1992
772,"Iron Butterfly",1970
773,"The Police",1981
774,"Krezip",2009
775,"Bangles",1989
776,"Survivor",1982
777,"Kansas",1977
778,"Mr. Probz",2013
779,"Andrea Bocelli",1996
780,"Radiohead",1995
781,"The Doors",1967
782,"Coldplay",2015
783,"Pink Floyd",1971
784,"Madonna",1989
785,"Herman van Veen",1969
786,"Elton John",1985
787,"Bryan Adams",1991
788,"The Beatles",1969
789,"Amy Macdonald",2008
790,"Toto",1982
791,"Marco Borsato",2015
792,"Coldplay",2015
793,"Split Enz",1984
794,"Manic Street Preachers",1998
795,"Carole King",1971
796,"John Mayer",2017
797,"Talking Heads",1981
798,"Elton John",1994
799,"Dire Straits",1992
800,"De Dijk",1985
801,"Dusty Springfield",1968
802,"Robbie Williams",1998
803,"3 Doors Down",2004
804,"Rob de Nijs",1977
805,"Guns N' Roses",1991
806,"Green Day",1997
807,"Kensington",2014
808,"Macklemore & Ryan Lewis",2012
809,"Bruce Springsteen",1985
810,"Meat Loaf",1993
811,"Doe Maar",1982
812,"Herman van Veen",1986
813,"Billy Joel",1976
814,"Adele",2008
815,"Nina Simone",1968
816,"Ben E. King",1987
817,"Jimi Hendrix Experience",1968
818,"Jimi Hendrix Experience",1967
819,"Youp van 't Hek",1981
820,"Status Quo",1975
821,"Michael Jackson",1992
822,"Sting",1985
823,"4 Non Blondes",1993
824,"The Rolling Stones",1971
825,"R.E.M.",1987
826,"Marvin Gaye",1969
827,"Kensington",2013
828,"Aretha Franklin",1967
829,"Neet Oét Lottum",2005
830,"David Bowie",1985
830,"Mick Jagger",1985
831,"U2",2013
832,"Duran Duran",1993
833,"Derek & The Dominos",1971
834,"David Bowie",2016
835,"Rob de Nijs",1980
836,"Marvin Gaye",1982
837,"Skunk Anansie",1995
838,"Faith No More",1989
839,"Thin Lizzy",1973
840,"The Doobie Brothers",1972
841,"Avicii",2013
842,"Aretha Franklin",1967
843,"Black Eyed Peas",2009
844,"The Beatles",1967
845,"Katie Melua",2005
846,"Fish",1990
847,"Rick Astley",1987
848,"The Who",1970
849,"Chris De Burgh",1986
850,"Prince",1985
851,"Barry Ryan",1968
852,"Marco Borsato",2003
853,"Fleetwood Mac",1977
854,"The Clash",1979
855,"Led Zeppelin",1970
856,"Karin Bloemen",1996
857,"Eagles",1973
858,"Kraftwerk",1975
859,"David Bowie",1986
860,"John Hiatt",1989
861,"Fleetwood Mac",1987
862,"The Cranberries",1993
863,"Crowded House",1992
864,"Nick Cave",1995
864,"Kylie Minogue",1995
865,"Queen",1977
866,"Smashing Pumpkins",2003
867,"Fischer-Z",1979
868,"Lenny Kravitz",1989
869,"Coldplay",2014
870,"A-Ha",1986
871,"The Righteous Brothers",1965
872,"Ben Howard",2011
873,"The Rolling Stones",1967
874,"Anouk",2009
875,"Robert Long",1977
876,"Talk Talk",1985
877,"Emerson Lake & Palmer",1980
878,"Tina Turner",1989
879,"Madonna",1998
880,"John Farnham",1987
881,"Barbra Streisand",1982
882,"Bob Dylan",1973
883,"Janis Joplin",1970
884,"Black Eyed Peas",2003
885,"Coldplay",2015
886,"Charlie Lownoise",1994
886,"Mental Theo",1994
887,"Creedence Clearwater Revival",1973
888,"Andrea Bocelli",1996
889,"Bløf",2017
889,"Geike",2017
890,"The Beatles",1966
891,"Bruce Springsteen",1985
892,"Elton John",1997
893,"Adele",2009
894,"ABBA",1980
895,"Queen",1975
896,"Lisa Lois",2009
897,"Tears For Fears",1985
898,"Christina Aguilera",2006
899,"Nickelback",2001
900,"Depeche Mode",1985
901,"No Doubt",1996
902,"Moby",1999
903,"Ed Sheeran",2012
904,"Armand",1967
905,"M.A.S.H.",1970
906,"Fools Garden",1996
907,"De Kast",1997
908,"Het Goede Doel",1982
909,"Ten Years After",1971
910,"The Blues Brothers",1989
911,"ABBA",1981
912,"The Black Keys",2011
913,"Sam Smith",2014
914,"Roxy Music",1982
915,"Clannad",1986
916,"Keane",2012
917,"Heart",1977
918,"Queen",1986
919,"David Bowie",1985
920,"Red Hot Chili Peppers",2006
921,"Michael Jackson",1991
922,"Anouk",2005
923,"Van Morrison",1970
924,"Muse",2012
925,"Harry Styles",2017
926,"Golden Earring",1971
927,"The Rolling Stones",1981
928,"Pink",2012
928,"Nate Ruess",2012
929,"Madness",1980
930,"James Taylor",1971
931,"Killing Joke",1985
932,"Tina Turner",1984
933,"UB40",1990
934,"Racoon",2013
935,"Imagine Dragons",2017
936,"Jason Mraz",2012
937,"Foreigner",1977
938,"Seal",1991
939,"Dolly Parton",1983
939,"Kenny Rogers",1983
940,"Amy Winehouse",2007
941,"Typhoon",2015
942,"Stef Bos",1990
943,"Metallica",2008
944,"Dexy's Midnight Runners & The Emerald Express",1982
945,"Bruce Springsteen",2003
946,"The Rolling Stones",1976
947,"Stone Temple Pilots",1993
948,"Nirvana",1994
949,"ABBA",1979
950,"The Rolling Stones",1981
951,"Aretha Franklin",1968
952,"Aretha Franklin",1968
953,"The Moody Blues",1970
954,"Donna Summer",1982
955,"Queen",1989
956,"Ozzy Osbourne",1992
957,"Daft Punk",2000
958,"Bob Marley & The Wailers",1980
959,"Marco Borsato",2002
960,"Red Hot Chili Peppers",1992
961,"Green Day",2009
962,"Supertramp",1979
963,"The Rolling Stones",1968
964,"Queen",1989
965,"David Bowie",1970
966,"The Offspring",1995
967,"Gerry & The Pacemakers",1963
968,"Doe Maar",1982
969,"Nena",2004
969,"Kim Wilde",2004
970,"The Cure",1992
971,"Chicago",1970
972,"Editors",2007
973,"The Rolling Stones",1967
974,"The The",1984
975,"Talk Talk",1984
976,"Dave Brubeck",1962
977,"Bee Gees",1967
978,"2 Unlimited",1993
979,"Douwe Bob",2016
980,"Japan",1980
981,"The Fray",2007
982,"ABBA",1979
983,"Nirvana",1993
984,"Donna Summer",1978
985,"The Hollies",1974
986,"George Harrison",1970
987,"André Hazes",1993
987,"Paul de Leeuw",1993
988,"Bon Jovi",1987
989,"Rowwen Hèze",1999
990,"Duran Duran",1984
991,"Jay Z",2009
991,"Alicia Keys",2009
992,"Simon & Garfunkel",1966
993,"The Beatles",1967
994,"The Beatles",1965
995,"Charles Aznavour",1970
996,"Guus Meeuwis",1995
996,"Vagant",1995
997,"The Black Crowes",1992
998,"Madness",1980
999,"Prince",1984
1000,"The Who",1965
1001,"Cheap Trick",1979
1002,"Train",2001
1003,"Elvis Presley",1972
1004,"Phil Collins",2002
1005,"Heart",1977
1006,"Doe Maar",1982
1007,"Michael Jackson",1983
1008,"Bronski Beat",1984
1009,"Cyndi Lauper",1986
1010,"Live",1999
1011,"Gloria Gaynor",1979
1012,"Simon & Garfunkel",1970
1013,"Acda & De Munnik",2000
1014,"Lucifer",1975
1015,"Bløf",2007
1016,"Red Hot Chili Peppers",1999
1017,"Midnight Oil",1988
1018,"Jacques Brel",1965
1019,"Mariah Carey",1994
1020,"Depeche Mode",1990
1021,"Enya",1988
1022,"Smashing Pumpkins",1996
1023,"Lionel Richie",1984
1024,"David Bowie",1976
1025,"Yes",1972
1026,"The Beatles",1969
